IDC,IDD,IDW,COMMUNE,SUP,POP,EPH,EHS,PLC,SS
4401,4401,44,Ain Defla,105,90201,1,0,0,0
4402,4402,44,Miliana,39,52116,1,0,0,0
4403,4403,44,Boumedfaa,129,27981,0,0,0,0
4404,4404,44,Khemis Miliana,41,102453,1,0,0,0
4405,4405,44,Hammam Righa,82,10878,0,0,0,0
4406,4408,44,Arib,219,32368,0,0,0,0
4407,4407,44,Djelida,204,46186,0,0,0,0
4408,4408,44,El Amra,180,40315,0,0,0,0
4409,4407,44,Bourached,122,36393,0,0,0,0
4410,4410,44,El Attaf,84,70892,1,0,0,0
4411,4411,44,El Abadia,105,54531,0,0,0,0
4412,4412,44,Djendel,162,35910,0,0,0,0
4413,4412,44,Oued Chorfa,79,15765,0,0,0,0
4414,4414,44,Ain Lechiakh,133,16582,0,0,0,0
4415,4414,44,Oued Djemaa,244,9246,0,0,0,0
4416,4416,44,Rouina,59,29294,0,0,0,0
4417,4416,44,Zeddine,106,16474,0,0,0,0
4418,4431,44,El Hassania,147,3673,0,0,0,0
4419,4422,44,Bir Ould Khelifa,66,16893,0,0,0,0
4420,4414,44,Ain Soltane,105,26911,0,0,0,0
4421,4422,44,Tarik Ibn-Ziad,406,11239,0,0,0,0
4422,4422,44,Bordj Emir Khaled,170,11035,0,0,0,0
4423,4405,44,Ain Tork,100,11768,0,0,0,0
4424,4404,44,Sidi Lakhdar,35,28361,0,0,0,0
4425,4402,44,Ben Allal,143,10971,0,0,0,0
4426,4405,44,Ain Benian,31,6921,0,0,0,0
4427,4403,44,Hoceinia,71,8139,0,0,0,0
4428,4412,44,Barbouche,75,5280,0,0,0,0
4429,4407,44,Djemaa Ouled Cheikh,137,8482,0,0,0,0
4430,4408,44,Mekhatria,104,20918,0,0,0,0
4431,4431,44,Bathia,105,6780,0,0,0,0
4432,4411,44,Tacheta Zegagha,182,30034,0,0,0,0
4433,4411,44,Ain Bouyahia,136,20285,0,0,0,0
4434,4416,44,El Maine,174,15466,0,0,0,0
4435,4410,44,Tiberkanine,107,18931,0,0,0,0
4436,4431,44,Belaas,152,5743,0,0,0,0
