IDC,IDD,IDW,COMMUNE,SUP,POP,EPH,EHS,PLC,SS
201,201,2,Chlef,125.83,178616,3,0,0,0
202,202,2,Tenes,92.28,35459,2,0,0,0
203,220,2,Benairia,60.65,15697,0,0,0,0
204,204,2,El Karimia,95.85,28821,0,0,0,0
205,222,2,Tadjena,116.59,24413,0,0,0,0
206,206,2,Taougrit,185.73,27574,0,0,0,0
207,207,2,Beni Haoua,112.57,20853,0,0,0,0
208,212,2,Sobha,182.54,34455,1,0,0,0
209,204,2,Harchoune,80.28,17873,0,0,0,0
210,210,2,Ouled Fares,243.75,34891,0,0,0,0
211,202,2,Sidi Akkacha,129.19,26595,0,0,0,0
212,212,2,Boukadir,222.43,51340,0,0,0,0
213,229,2,Beni Rached,105,23449,0,0,0,0
214,222,2,Telassa,69.72,11503,0,0,0,0
215,232,2,Herenfa,141.01,17799,0,0,0,0
216,207,2,Oued Goussine,78.83,6453,0,0,0,0
217,206,2,Dahra,207.15,23802,0,0,0,0
218,229,2,Ouled Abbes,42.50,8578,0,0,0,0
219,201,2,Sendjas,218.46,29043,0,0,0,0
220,220,2,Zeboudja,135.17,26539,0,0,0,0
221,212,2,Oued Sly,103.03,47248,0,0,0,0
222,222,2,Abou El Hassen,81.10,22756,0,0,0,0
223,223,2,El Marsa,119.08,10807,0,0,0,0
224,210,2,Chettia,38.03,71408,1,0,0,0
225,222,2,Sidi Abderrahmane,75.09,4349,0,0,0,0
226,223,2,Moussadek,63.21,6380,0,0,0,0
227,230,2,El Hadjadj,98.55,8478,0,0,0,0
228,210,2,Labiod Medjadja,106.50,14733,0,0,0,0
229,229,2,Oued Fodda,70.41,41710,0,0,0,0
230,230,2,Ouled Ben Abdelkader,182.47,19952,0,0,0,0
231,220,2,Bouzeghaia,137.67,22590,0,0,0,0
232,232,2,Ain Merrane,101.64,51326,0,0,0,0
233,201,2,Oum Drou,59.71,21326,0,0,0,0
234,207,2,Breira,72.30,13200,0,0,0,0
235,204,2,Beni Bouattab,120.39,2069,0,0,0,0



