"ID","IDW","WILAYA","EQUIPEMENT","CHU","EPH","EHS","EH","EPSP"
"1",2,"Chlef","IRM","0","01","0","0","0"
"2",2,"Chlef","Scanner","0","04","0","0","0"
"3",2,"Chlef","PET/SCAN","0","0","0","0","0"
"4",2,"Chlef","Gamma-caméras","0","0","0","0","0"
"5",2,"Chlef","Salle de cathétérisme de cardiologie","0","01","0","0","0"
"6",2,"Chlef","Accélérateurs linéaires","0","0","0","0","0"
"7",2,"Chlef","Lithotripteur","0","0","0","0","0"
"8",2,"Chlef","Appareil de radio numérique","0","0","0","0","0"
"9",2,"Chlef","Mammographie","0","0","0","0","0"
"10",2,"Chlef","Générateur d’hémodialyse","0","058","0","0","013"
