IDC,IDD,IDW,COMMUNE,SUP,POP,EPH,EHS,PLC,SS
1701,1701,17,Djelfa,542.17,289226,2,2,0,0
1702,1730,17,Moudjebara,737.7,14052,0,0,1,0	
1703,1726,17,El Guedid,1152.16,12833,0,0,1,0
1704,1704,17,Hassi Bahbah,773.74,86421,1,0,2,0
1705,1704,17,Ain Maabed,328.02,19997,0,0,1,0
1706,1717,17,Sed Rahal,950,13693,0,0,0,0
1707,1707,17,Faidh El Botma,868,32501,0,0,1,0
1708,1708,17,Birine,800,30913,1,0,1,0
1709,1720,17,Bouira Lahdab,378.4,10993,0,0,1,0
1710,1730,17,Zaccar,225.02,1809,0,0,0,0
1711,1719,17,El Khemis,500.24,5405,0,0,1,0
1712,1725,17,Sidi Baizid,523.9,7933,0,0,1,0
1713,1725,17,M'Liliha,908.07,14242,0,0,1,0
1714,1714,17,El Idrissia,375.09,32900,1,0,1,0
1715,1714,17,Douis,502.76,9344,0,0,0,0
1716,1704,17,Hassi El Euch,509.14,11692,0,0,1,0
1717,1717,17,Messaad,147.76,102453,1,0,2,0
1718,1717,17,Guettara,4864.3,9926,0,0,1,0
1719,1719,17,Sidi Ladjel,373.11,13661,0,0,1,0
1720,1720,17,Had Sahary,854.09,30451,0,0,1,0
1721,1731,17,Guernini,523.9,4594,0,0,1,0
1722,1717,17,Selmana,1894,19471,0,0,0,0
1723,1714,17,Ain Chouhada,211.25,4549,0,0,0,0
1724,1707,17,Oum Laadham,3888.72,23051,0,0,0,0
1725,1725,17,Dar Chioukh,338.7,30372,1,0,1,0
1726,1726,17,Charef,590.55,24028,0,0,1,0
1727,1726,17,Benyacoub,194.17,9940,0,0,0,0
1728,1704,17,Zaafrane,1197.8,12972,0,0,1,0
1729,1717,17,Deldoul,1865,11230,0,0,0,0
1730,1730,17,Ain El Ibel,562.37,28406,0,0,1,0
1731,1731,17,Ain Oussera,809.49,101239,1,0,3,0
1732,1708,17,Benhar,1070,17207,0,0,1,0
1733,1719,17,Hassi Fedoul,491.51,13171,0,0,1,0
1734,1707,17,Amourah,1052.4,7744,0,0,0,0
1735,1720,17,Ain Fekka,464.24,23404,0,0,1,0
1736,1730,17,Tadmit,788.58,10359,0,0,0,0

