"ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","STRUCTURE","MATERNITE","NBRLIT","LATITUDE","LONGITUDE"
1,17,"Djelfa","Ain Oussera","Had El Sahary","Ain feka","PC","Ain Afkah","n",0,35.42625,3.57819
2,17,"Djelfa","Ain Oussera","Had El Sahary","Ain feka","SS","Kalaat Yahia","n",0,17,17
3,17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","PC","Ben Kous Ibrahim","n",0,35.45654,2.89234
4,17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","PC","Guazel Omar","n",0,35.44209,2.89216
5,17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","PC","Lakhal Bachir","n",0,35.45012,2.90256
6,17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SS","Ouled Daoued","n",0,35.43953,2.90327
7,17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SS","Slimane Slimane","n",0,35.44918,2.89403
8,17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SS","El Mahata","n",0,35.44369,2.91458
9,17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SS","Nouidjem","n",0,35.45238,2.91988
10,17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SS","La Gare","n",0,35.44369,2.91458
11,17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SS","El Chikh Mostphai","n",0,35.43166,2.89172
12,17,"Djelfa","Ain Oussera","Birine","Ben Nahar","SS","Ben Nahar","n",0,35.48546,3.00997
13,17,"Djelfa","Ain Oussera","Birine","Ben Nahar","SS","Dar Souari","n",0,35.39665,3.00042
14,17,"Djelfa","Ain Oussera","Birine","Ben Nahar","SS","Menaa","n",0,35.70424,3.00826
15,17,"Djelfa","Ain Oussera","Birine","Ben Nahar","SS","Oussisara","n",0,35.45512,2.91987
16,17,"Djelfa","Ain Oussera","Birine","Ben Nahar","SS","Benhar Nouvelle","n",0,35.48711,3.01142
17,17,"Djelfa","Ain Oussera","Birine","Birine","PC","Birine","n",0,35.6389,3.22762
18,17,"Djelfa","Ain Oussera","Birine","Birine","SS","Hourabat","n",0,17,17
19,17,"Djelfa","Ain Oussera","Birine","Birine","SS","Touila","n",0,35.52954,3.23564
20,17,"Djelfa","Ain Oussera","Had El Sahary","Bouiret Lahdeb","PC","Bouiret Lahdeb","n",0,35.24731,3.14604
21,17,"Djelfa","Ain Oussera","Had El Sahary","Bouiret Lahdeb","SS","Ouled Si Ameur","n",0,35.1814,3.1823
22,17,"Djelfa","Ain Oussera","Had El Sahary","Bouiret Lahdeb","SS","Seguiaa","n",0,35.20967,3.02115
23,17,"Djelfa","Ain Oussera","Had El Sahary","Bouiret Lahdeb","SS","Ouled Bouaicha","n",0,17,17
24,17,"Djelfa","Ain Oussera","Sid  Laadjel","El Khemis","SS","El Khemis","n",0,35.28685,2.59464
25,17,"Djelfa","Ain Oussera","Sid  Laadjel","El Khemis","SS","Mouilah","n",0,35.3976,2.79093
26,17,"Djelfa","Ain Oussera","Sid  Laadjel","El Khemis","SS","El Saadat","n",0,35.43197,2.60632
27,17,"Djelfa","Ain Oussera","Ain Oussera","Guermini","SS","Guermini","n",0,35.20019,2.68191
28,17,"Djelfa","Ain Oussera","Had El Sahary","Had El Sahary","PC","Had El Sahary","y",0,35.35446,3.3657
29,17,"Djelfa","Ain Oussera","Had El Sahary","Had El Sahary","SS","Had El Sahary","n",0,35.35187,3.36103
30,17,"Djelfa","Ain Oussera","Had El Sahary","Had El Sahary","SS","Ahmed Zabana","n",0,35.34752,3.36738
31,17,"Djelfa","Ain Oussera","Had El Sahary","Had El Sahary","SS","Ouled Said","n",0,35.4558,3.2278
32,17,"Djelfa","Ain Oussera","Had El Sahary","Had El Sahary","SS","Si El Haoues","n",0,35.35901,3.36845
33,17,"Djelfa","Ain Oussera","Had El Sahary","Had El Sahary","SS","Draa El Methnane","n",0,17,17
34,17,"Djelfa","Ain Oussera","Had El Sahary","Had El Sahary","SS","Guasria","n",0,17,17
35,17,"Djelfa","Ain Oussera","Had El Sahary","Had El Sahary","SS","El Chareb","n",0,17,17
36,17,"Djelfa","Ain Oussera","Sid  Laadjel","Hassi Fedoul","PC","Hassi Fedoul","n",0,35.43754,2.21285
37,17,"Djelfa","Ain Oussera","Sid  Laadjel","Hassi Fedoul","SS","Djedida","n",0,17,17
38,17,"Djelfa","Ain Oussera","Sid  Laadjel","Hassi Fedoul","SS","Tir El Goulab","n",0,17,17
39,17,"Djelfa","Ain Oussera","Sid  Laadjel","Sid  Laadjel","PC","Sidi  Laadjel","y",0,35.43776,2.5158
40,17,"Djelfa","Ain Oussera","Sid  Laadjel","Sid  Laadjel","SS","Haouch El Kaid","n",0,3536396,2.44567
41,17,"Djelfa","Ain Oussera","Sid  Laadjel","Sid  Laadjel","SS","El Ardja","n",0,3541876,2.43934
42,17,"Djelfa","Ain Oussera","Sid  Laadjel","Sid  Laadjel","SS","El Nacer","n",0,35.4344,2.50952
43,17,"Djelfa","Djelfa","Idrissia","Ain Chouhada","PC","Ain Chouhada","n",0,34.24477,2.52016
44,17,"Djelfa","Djelfa","Idrissia","Ain Chouhada","SS","Bouchkioua","n",0,34.15341,2.61993
44,17,"Djelfa","Djelfa","Idrissia","Ain Chouhada","SS","Mrires","n",0,0,0
45,17,"Djelfa","Djelfa","Charef","Ben Yagoub","PC","Ben Yagoub","n",0,34.4664,2.78489
46,17,"Djelfa","Djelfa","Charef","Ben Yagoub","SS","Fekirine","n",0,34.5006,2.90726
47,17,"Djelfa","Djelfa","Charef","Charef","PC","Charef","y",0,34.61889,2.807
48,17,"Djelfa","Djelfa","Charef","Charef","SS","Ain Lahdjar","n",0,34.6532,2.74564
49,17,"Djelfa","Djelfa","Charef","Charef","SS","Centre de Sante","n",0,34.61669,2.80105
50,17,"Djelfa","Djelfa","Charef","Charef","SS","Louibed","n",0,34.64025,2.685
51,17,"Djelfa","Djelfa","Charef","Charef","SS","Taouzara","n",0,34.58642,2.87326
52,17,"Djelfa","Djelfa","Charef","Charef","SS","Touazi","n",0,34.70032,2.82421
53,17,"Djelfa","Djelfa","Charef","Charef","SS","El Hamam","n",0,34.46633,2.85052
53,17,"Djelfa","Djelfa","Charef","Charef","SS","Guetia","n",0,0,0
54,17,"Djelfa","Djelfa","Djelfa","Djelfa","PC","Ain Chih","y",0,34.66952,3.23836
55,17,"Djelfa","Djelfa","Djelfa","Djelfa","PC","Ain Serrar","y",0,34.68997,3.25933
56,17,"Djelfa","Djelfa","Djelfa","Djelfa","PC","Ben Djerma","n",0,34.66739,3.24907
57,17,"Djelfa","Djelfa","Djelfa","Djelfa","PC","Bourdj","n",0,34.6822,3.24739
58,17,"Djelfa","Djelfa","Djelfa","Djelfa","PC","Boutrifis 2","n",0,34.68807,3.27185
59,17,"Djelfa","Djelfa","Djelfa","Djelfa","PC","El falah","n",0,34.67237,3.25713
60,17,"Djelfa","Djelfa","Djelfa","Djelfa","PC","Karia","n",0,34.60635,3.24118
