"ID","IDW","WILAYA","EQUIPEMENT","CHU","EPH","EHS","EH","EPSP"
"1",17,"Djelfa","IRM","0","0","01","0","0"
"2",17,"Djelfa","Scanner","0","06","01","0","0"
"3",17,"Djelfa","PET/SCAN","0","0","0","0","0"
"4",17,"Djelfa","Gamma-caméras","0","0","0","0","0"
"5",17,"Djelfa","Salle de cathétérisme de cardiologie","0","0","0","0","0"
"6",17,"Djelfa","Accélérateurs linéaires","0","0","0","0","0"
"7",17,"Djelfa","Lithotripteur","0","0","0","0","0"
"8",17,"Djelfa","Appareil de radio numérique","0","025","02","0","097"
"9",17,"Djelfa","Mammographie","0","07","01","0","0"
"10",17,"Djelfa","Générateur d’hémodialyse","0","0143","0","0","0"
