IDC,IDD,IDW,COMMUNE,SUP,POP,EPH,EHS,PLC,SS
301,301,3,Laghouat,400,267834,2,1,9,11
302,302,3,Ksar Hirane,1240,32387,1,0,1,4
303,302,3,Bennasser Benchohra,1460,14929,0,0,1,3
304,304,3,Sidi Makhlouf,1420,17252,0,0,1,4
305,306,3,Hassi Delaa,3955,20801,0,0,1,1
306,306,3,Hassi R'Mel,1957,31093,0,0,2,2
307,307,3,Ain Madhi,1790,17240,0,0,0,1
308,307,3,Tadjemout,620,6309,0,0,0,4
309,307,3,Kheneg,3830,21639,0,0,1,2
310,310,3,Gueltat Sidi Saad,1040,17906,0,0,1,5
311,310,3,Ain Sidi Ali,410,11894,0,0,1,2
312,310,3,El Beidha,780,11797,0,0,1,1
313,313,3,Brida,355,8426,0,0,1,4
314,314,3,El Ghicha,7300,8048,0,0,1,4
315,313,3,Hadj Mechri,375,8792,0,0,1,6
316,319,3,Sebgag,385,8019,0,0,1,2
317,313,3,Taouala,255,4072,0,0,1,3
318,307,3,Tadjrouna,1130,6309,0,0,0,2
319,319,3,Aflou,405,163334,1,1,7,10
320,304,3,El Assafia,420,10642,0,0,1,3
321,321,3,Oued Mora,360,9491,0,0,1,5
322,321,3,Oued M'Zi,425,4292,0,0,0,0
323,307,3,El Haouaita,405,3075,0,0,0,1
324,319,3,Sidi Bouzid,860,8055,0,0,1,3



