"ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","STRUCTURE","MATERNITE","NBRLIT","LATITUDE","LONGITUDE"
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","PC","El moussalaha","n",8,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","PC","08 mai 1945","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","PC","Hadjoudja  aek (elssadikia)","n",6,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","PC","Chouireb maamar","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","PC","Mhaiguira mohamed","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","PC","Dr saadane","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","PC","Samia boucherit","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","PC","Zaghez  belkacem (pasteur)","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","PC","Abdelmoumen  aek  b.senouci","n",0,0,0
1,3,"Laghouat","Laghouat","Ain madhi","El Kheneg","PC","chaibi boulanouar","n",0,0,0   
1,3,"Laghouat","Laghouat","Sidi mekhlouf","Sidi mekhlouf","PC","belboul ahmed","y",6,0,0
1,3,"Laghouat","Laghouat","Sidi mekhlouf","Assafia","PC","ahmed benbella assafia","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","bouakaz  lahcene","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","djoudi aek ","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","saadaoui ali « b / senouci » ","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","saigaa lahbib","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","telidji belkacem 600 logts ","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","mordjani ahmed ","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","tihami mohamed (ksar bezaim)","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","senouci mohamed","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","chakhoum ahmed","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","aouissi taher 741 logts","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","SS","hamda","n",0,0,0
1,3,"Laghouat","Laghouat","Ain madhi","El Kheneg","SS","ben abir aek","n",0,0,0
1,3,"Laghouat","Laghouat","Ain madhi","El Kheneg","SS","elkhneg","n",0,0,0
1,3,"Laghouat","Laghouat","Sidi mekhlouf","Sidi mekhlouf","SS","les freres achouri","n",0,0,0
1,3,"Laghouat","Laghouat","Sidi mekhlouf","Sidi mekhlouf","SS","11 decembre","n",0,0,0
1,3,"Laghouat","Laghouat","Sidi mekhlouf","Sidi mekhlouf","SS","al fasfsa","n",0,0,0
1,3,"Laghouat","Laghouat","Sidi mekhlouf","Sidi mekhlouf","SS","belghouini mustapha","n",0,0,0
1,3,"Laghouat","Laghouat","Sidi mekhlouf","El Assafia","SS","ch  mechraoui med ben ahmed (al assafia chargia)","n",0,0,0
1,3,"Laghouat","Laghouat","Sidi mekhlouf","El Assafia","SS","ch. kribea  mustapha (rue med boudiaf) ","n",0,0,0
1,3,"Laghouat","Laghouat","Sidi mekhlouf","El Assafia","SS","nouvelle sale de soins","n",0,0,0
1,3,"Laghouat","Ksar elhirane","Ksar elhirane","Ksar elhirane","PC","Naaoum mereik ben ali","n",0,33.78888,3.13844
1,3,"Laghouat","Ksar elhirane","Ksar elhirane","Bennacer Benchohra","PC","Bakchiche ali","n",10,33.75746,3.00241
1,3,"Laghouat","Ksar elhirane","Ksar elhirane","Ksar elhirane","SS","attia aissa","n",0,0,0
1,3,"Laghouat","Ksar elhirane","Ksar elhirane","Ksar elhirane","SS","saihi ferhat","n",0,0,0
1,3,"Laghouat","Ksar elhirane","Ksar elhirane","Ksar elhirane","SS","8 mai 1945","n",0,0,0
1,3,"Laghouat","Ksar elhirane","Ksar elhirane","Ksar elhirane","SS","kabeg","n",0,0,0
1,3,"Laghouat","Ksar elhirane","Ksar elhirane","Bennacer Benchohra","SS","belakaibat mohamed","n",0,0,0
1,3,"Laghouat","Ksar elhirane","Ksar elhirane","Bennacer Benchohra","SS","belarbi mohamed","n",0,0,0
1,3,"Laghouat","Ksar elhirane","Ksar elhirane","Bennacer Benchohra","SS","bouhali teli","n",0,0,0
1,3,"Laghouat","Hassi Delaa","Hassi Rmel","Hassi Delaa","PC","kouidri mabrouk","y",7,0,0
1,3,"Laghouat","Hassi Delaa","Hassi Rmel","Hassi Rmel","PC","Hassi Rmel","y",6,0,0
1,3,"Laghouat","Hassi Delaa","Hassi Rmel","Hassi Rmel","PC","mahmoudi sayadi « bellil »","y",6,0,0
1,3,"Laghouat","Hassi Delaa","Hassi Rmel","Hassi Delaa","SS","salle de soins channa said","n",0,0,0
1,3,"Laghouat","Hassi Delaa","Hassi Rmel","Hassi Rmel","SS","haimad toumi « bouzbair »","n",0,0,0
1,3,"Laghouat","Hassi Delaa","Hassi Rmel","Hassi Rmel","SS","salle de soins hassi rmel","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","PC","msibih aissa ( oum grine)","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","PC","zerouala tayeb cosider","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","PC","behloul slimane route de laghouat","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","PC","mehouatha benchohra hai gaada","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","PC","gabani ahmed route elbayedh","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","PC","guitoune ahmed","n",9,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","PC","nourine aek","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Sidi Bouzid","PC","boumediene mohamed","n",04,0,0
1,3,"Laghouat","Aflou","Aflou","Sebgag","PC","benyamina ahmed","y",04,0,0
1,3,"Laghouat","Aflou","Oued Morra","Oued Morra","PC","attia toumi","n",04,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","SS","zaoui said","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","SS","sayad aek hai isteklal","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","SS","hai isteklal 2","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","SS","wekaya hai boudeiaf","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","SS","cite universitaire","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","SS","ain ouameri","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","SS","oued madssous","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","SS","tedmama","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","SS","ain drag","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Aflou","SS","remilia","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Sidi Bouzid","SS","chakala « foudad djelloul »","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Sidi Bouzid","SS","ain rouina","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Sidi Bouzid","SS","s’khouna « hanay a.e.k »","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Sebgag","SS","sebgag gharbi","n",0,0,0
1,3,"Laghouat","Aflou","Aflou","Sebgag","SS","bouzertala","n",0,0,0
1,3,"Laghouat","Aflou","Oued Morra","Oued Morra","SS","ain ousmane","n",0,0,0
1,3,"Laghouat","Aflou","Oued Morra","Oued Morra","SS","hassi mustapha","n",0,0,0
1,3,"Laghouat","Aflou","Oued Morra","Oued Morra","SS","eldjedar","n",0,0,0
1,3,"Laghouat","Aflou","Oued Morra","Oued Morra","SS","arar","n",0,0,0
