"ID","IDW","WILAYA","EQUIPEMENT","CHU","EPH","EHS","EH","EPSP"
"1",3,"Laghouat","IRM","0","01","0","0","0"
"2",3,"Laghouat","Scanner","0","03","0","0","0"
"3",3,"Laghouat","PET/SCAN","0","0","0","0","0"
"4",3,"Laghouat","Gamma-caméras","0","0","0","0","0"
"5",3,"Laghouat","Salle de cathétérisme de cardiologie","0","0","0","0","0"
"6",3,"Laghouat","Accélérateurs linéaires","0","0","0","0","0"
"7",3,"Laghouat","Lithotripteur","0","0","0","0","0"
"8",3,"Laghouat","Appareil de radio numérique","0","0","0","0","0"
"9",3,"Laghouat","Mammographie","0","02","01","0","01"
"10",3,"Laghouat","Générateur d’hémodialyse","0","091","0","0","016"
