IDC,IDD,IDW,COMMUNE,SUP,POP,EPH,EHS,PLC,SS
2601,2601,26,Medea,63.5,158561,1,0,0,0
2602,2602,26,Ouezra,101,14196,0,0,0,0
2603,2604,26,Ouled Maaraf,192,9136,0,0,0,0
2604,2604,26,Ain Boucif,314.42,28112,1,0,0,0
2605,2652,26,Aissaouia,70,1950,0,0,0,0
2606,2647,26,Ouled Daid,145,6152,0,0,0,0
2607,2607,26,El Oumaria,115.32,25058,0,0,0,0
2608,2632,26,Derrag,250.4,6797,0,0,0,0
2609,2609,26,El Guelb El Kebir,126.17,10841,0,0,0,0
2610,2638,26,Bouaiche,544.18,9167,0,0,0,0
2611,2652,26,Mezrenna,120.16,6016,0,0,0,0
2612,2607,26,Ouled Brahim,61.87,12148,0,0,0,0
2613,2602,26,Tizi Mahdi,38,2038,0,0,0,0
2614,2633,26,Sidi Ziane,63.77,2086,0,0,0,0
2615,2601,26,Tamezguida,99,4180,0,0,0,0
2616,2602,26,El Hamdania,139,1900,0,0,0,0
2617,2604,26,El Kaf Lakhdar,107.99,4862,0,0,0,0
2618,2618,26,Chellalet Ladhaoura,143,33163,0,0,0,0
2619,2646,26,Bouskene,98.7,10325,0,0,0,0
2620,2647,26,Roubia,155,3726,0,0,0,0
2621,2626,26,Boucherahil,210.92,6751,0,0,0,0
2622,2658,26,Ouled Hellal,208.42,3773,0,0,0,0
2623,2618,26,Tafraout,105,3773,0,0,0,0
2624,2607,26,Baata,116,176,0,0,0,0
2625,2658,26,Boughar,122.95,6084,0,0,0,0
2626,2626,26,Sidi Naamane,136.8,14213,0,0,0,0
2627,2644,26,Ouled Bouachra,101,497,0,0,0,0
2628,2633,26,Sidi Zahar,76.37,2086,0,0,0,0
2629,2643,26,Oued Harbil,62,2055,0,0,0,0
2630,2602,26,Ben Chicao,59,10757,0,0,0,0
2631,2604,26,Sidi Damed,160,7013,0,0,0,0
2632,2632,26,Azziz,545.52,10847,0,0,0,0
2633,2633,26,Souagui,136.6,12157,0,0,0,0
2634,2648,26,Zoubiria,207.4,5158,0,0,0,0
2635,2635,26,Ksar El Boukhari,53.87,89853,1,0,0,0
2636,2636,26,Azzizia,47,9111,0,0,0,0
2637,2633,26,Djouab,105,5268,0,0,0,0
2638,2638,26,Chahbounia,522.37,13876,0,0,0,0
2639,2636,26,Megheraoua,71.2,5969,0,0,0,0
2640,2618,26,Cheniguel,164,8523,0,0,0,0
2641,2618,26,Ain Ouksir,257.34,4738,0,0,0,0
2642,2632,26,Oum El Djellil,74,3579,0,0,0,0
2643,2643,26,Ouamri,88,17625,0,0,0,0
2644,2644,26,Si El Mahdjoub,51,9470,0,0,0,0
2645,2648,26,Thleth Douair,136,7643,0,0,0,0
2646,2646,26,Beni Slimane,92.8,36610,1,0,0,0
2647,2647,26,Berrouaghia,161.32,61841,1,0,0,0
2648,2648,26,seghouane,75,4517,0,0,0,0
2649,2635,26,Meftaha,148.25,8319,0,0,0,0
2650,2636,26,Mihoub,104.92,13092,0,0,0,0
2651,2638,26,Boughezoul,448,21121,0,0,0,0
2652,2652,26,Tablat,77.5,27497,1,0,0,0
2653,2652,26,Deux Bassins,40.57,2252,0,0,0,0
2654,2601,26,Draa Smar,40,13165,0,0,0,0
2655,2646,26,Sidi Errabia,51.95,5019,0,0,0,0
2656,2609,26,Bir Ben Laabed,64.2,14293,0,0,0,0
2657,2604,26,El Ouinet,61,5438,0,0,0,0
2658,2658,26,Ouled Antar,224.78,2457,0,0,0,0
2659,2644,26,Bouaichoune,77,4661,0,0,0,0
2660,2643,26,Hannacha,54,3983,0,0,0,0
2661,2609,26,Sedraya,66,8506,0,0,0,0
2662,2648,26,Medjebar,83.8,5134,0,0,0,0
2663,2626,26,Khams Djouamaa,62,14834,0,0,0,0
2664,2635,26,Saneg,76.32,3985,0,0,0,0
