"ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","STRUCTURE","MATERNITE","NBRLIT","LATITUDE","LONGITUDE"
1,26,"Medea","Medea","Medea","Medea","PC","Pole Urbain (Smaal Mohamed)","n",04,0,0
1,26,"Medea","Medea","Medea","Medea","PC","Zoubiria (Boubekri Moloud)","n",0,0,0
1,26,"Medea","Medea","Medea","Medea","PC","Thniet el hdjer (Ali Turki Mohamed) ","n",04,0,0
1,26,"Medea","Medea","Medea","Medea","PC","d'Ain d'heb (Damardji Ali)  ","n",0,0,0
1,26,"Medea","Medea","Medea","Medea","PC","Merdjchkir (Ouachfoun Mohame)","n",04,0,0
1,26,"Medea","Medea","Medea","Medea","PC","Bouziane (Ouled Medjber Bachir)","n",0,0,0
1,26,"Medea","Medea","Medea","Draa Smar","PC","Draa S'mar (Lamouri Ahmed)","n",04,0,0
1,26,"Medea","Medea","Medea","Draa Smar","PC","Ain El Djarda","n",0,0,0
1,26,"Medea","Medea","Medea","Tamezguida","PC","Tamezguida (Mezouari Ahmed)","n",0,0,0
1,26,"Medea","Medea","Ouzra","Ouzra","PC","Ouzera","n",04,0,0
1,26,"Medea","Medea","Ouzra","Benchicao","PC","Benchicao (Les Trois Freres Brahimi) ","n",04,0,0
1,26,"Medea","Medea","Si Mahdjoub","Si Mahdjoub","PC","Si Mahdjoub (Benterkia Mahfoud)","n",04,0,0
1,26,"Medea","Medea","Ouamri","Ouamri","PC","Ouamri (Sahnoun Farida)","n",04,0,0
1,26,"Medea","Medea","Ouamri","Oued Harbil","PC","Harbil (Ali Turki Moussa F/Z)","n",0,0,0
1,26,"Medea","Medea","Medea","Medea","SS","Ain Mordj","n",0,0,0
1,26,"Medea","Medea","Medea","Medea","SS","Batti","n",0,0,0
1,26,"Medea","Medea","Medea","Medea","SS","Ghezaghza","n",0,0,0
1,26,"Medea","Medea","Ouamri","Ouamri","SS","Hannacha","n",0,0,0
1,26,"Medea","Medea","Medea","Draa Smar","SS","Ain EL Arais","n",0,0,0
1,26,"Medea","Medea","Ouzra","Ouzra","SS","Hamdania","n",0,0,0
1,26,"Medea","Medea","Ouzra","Ouzra","SS","Tizi Mahdi","n",0,0,0
1,26,"Medea","Medea","Si Mahdjoub","Si Mahdjoub","SS","Ouled Bouachra","n",0,0,0
1,26,"Medea","Medea","Si Mahdjoub","Si Mahdjoub","SS","Bouaichoune","n",0,0,0
1,26,"Medea","Medea","Medea","Medea","SS","Baba Ali (Tahtouh)","n",0,0,0
1,26,"Medea","Medea","Medea","Medea","SS","Bab el Gort","n",0,0,0
1,26,"Medea","Medea","Medea","Medea","SS","Beni Atteli","n",0,0,0
1,26,"Medea","Medea","Medea","Medea","SS","Draa Benguenif","n",0,0,0
1,26,"Medea","Medea","Medea","Draa Smar","SS","Ouled S'nan","n",0,0,0
1,26,"Medea","Medea","Medea","Draa Smar","SS","Tibhirine","n",0,0,0
1,26,"Medea","Medea","Medea","Tamezguida","SS","Tadinart","n",0,0,0
1,26,"Medea","Medea","Medea","Tamezguida","SS","Baziz","n",0,0,0
1,26,"Medea","Medea","Ouzra","Ouzra","SS","VSA Bouhadjar","n",0,0,0
1,26,"Medea","Medea","Ouzra","Ouzra","SS","Sidi Ali","n",0,0,0
1,26,"Medea","Medea","Ouzra","Benchicao","SS","Zaouia","n",0,0,0
1,26,"Medea","Medea","Ouzra","Benchicao","SS","Maison d'enfance","n",0,0,0
1,26,"Medea","Medea","Ouzra","Benchicao","SS","Ain Aissa","n",0,0,0
1,26,"Medea","Medea","Ouzra","Benchicao","SS","Boucebsi (Abdelmalek Ali)","n",0,0,0
1,26,"Medea","Medea","Si Mahdjoub","Si Mahdjoub","SS","Sidi bakhti (Nechem Abdelkader)","n",0,0,0
1,26,"Medea","Medea","Si Mahdjoub","Si Mahdjoub","SS","Guemana","n",0,0,0
