"ID","IDW","WILAYA","EQUIPEMENT","CHU","EPH","EHS","EH","EPSP"
"1",26,"Medea","IRM","0","0","0","0","0"
"2",26,"Medea","Scanner","0","0","0","0","0"
"3",26,"Medea","PET/SCAN","0","0","0","0","0"
"4",26,"Medea","Gamma-caméras","0","0","0","0","0"
"5",26,"Medea","Salle de cathétérisme de cardiologie","0","0","0","0","0"
"6",26,"Medea","Accélérateurs linéaires","0","0","0","0","0"
"7",26,"Medea","Lithotripteur","0","0","0","0","0"
"8",26,"Medea","Appareil de radio numérique","0","0","0","0","0"
"9",26,"Medea","Mammographie","0","0","0","0","0"
"10",26,"Medea","Générateur d’hémodialyse","0","0","0","0","0"
