IDC,IDD,IDW,COMMUNE,SUP,POP,EPH,EHS,PLC,SS
2801,2801,28,M'Sila,232,250144,1,0,0,0
2802,2804,28,Maadid,264,30460,0,0,0,0
2803,2803,28,Hammam Dalaa,341,49524,0,0,0,0
2804,2804,28,Ouled Derradj,239,34398,0,0,0,0
2805,2803,28,Tarmount,324,12320,0,0,0,0
2806,2804,28,M'Tarfa,224,11732,0,0,0,0
2807,2807,28,Khoubana,364,11935,0,0,0,0
2808,2807,28,M'Cif,381,16278,0,0,0,0
2809,2809,28,Chellal,270,6961,0,0,0,0
2810,2809,28,Ouled Madhi,290,10357,0,0,0,0
2811,2811,28,Magra,272,56133,1,0,0,0
2812,2811,28,Berhoum,89,33900,0,0,0,0
2813,2811,28,Ain Khadra,157,34679,0,0,0,0
2814,2804,28,Ouled Addi Guebala,317,30388,0,0,0,0
2815,2811,28,Belaiba,170,32344,0,0,0,0
2816,2816,28,Sidi Aissa,411,101331,1,0,0,0
2817,2817,28,Ain El Hadjel,387,42596,0,0,0,0
2818,2817,28,Sidi Hadjeres,552,9007,0,0,0,0
2819,2803,28,Ouanougha,163,17821,0,0,0,0
2820,2820,28,Bou Saada,248,170139,1,0,0,0
2821,2821,28,Ouled Sidi Brahim,234,14163,0,0,0,0
2822,2822,28,Sidi Ameur,930,27247,0,0,0,0
2823,2822,28,Tamsa,573,10059,0,0,0,0
2824,2824,28,Ben Srour,464,31643,1,0,0,0
2825,2824,28,Ouled Slimane,317,8084,0,0,0,0
2826,2807,28,El Houamed,1745,10168,0,0,0,0
2827,2820,28,Hamel,169,14274,0,0,0,0
2828,2803,28,Ouled Mansour,330,8203,0,0,0,0
2829,2809,28,Maarif,390,17248,0,0,0,0
2830,2811,28,Dehahna,90,9582,0,0,0,0
2831,2816,28,Bouti Sayeh,105,12761,0,0,0,0
2832,2809,28,Khatouti Sed Eldjir,525,10740,0,0,0,0
2833,2824,28,Zarzour,240,8008,0,0,0,0
2834,2824,28,Mohamed Boudiaf,653,19559,0,0,0,0
2835,2821,28,Benzouh,350,7558,0,0,0,0
2836,2841,28,Bir Foda,450,6418,0,0,0,0
2837,2841,28,Ain Fares,455,5841,0,0,0,0
2838,2841,28,Sidi M'Hamed,177,10082,0,0,0,0
2839,2842,28,Menaa,300,11808,0,0,0,0
2840,2804,28,Soumaa,378,10114,0,0,0,0
2841,2841,28,Ain El Melh,271,55617,1,0,0,0
2842,2842,28,Medjedel,596,26479,0,0,0,0
2843,2847,28,Slim,540,7539,0,0,0,0
2844,2841,28,Ain Errich,1212,24410,0,0,0,0
2845,2816,28,Beni Ilmane,125,11483,0,0,0,0
2846,2820,28,Oultene,177,3252,0,0,0,0
2847,2847,28,Djebel Messaad,684,17270,0,0,0,0



