"ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","STRUCTURE","MATERNITE","NBRLIT","LATITUDE","LONGITUDE"
1,28,"Msila","Msila","Msila","Msila","PC","500 LOGTS","n",0,0 ,0
2,28,"Msila","Msila","Msila","Msila","PC","300 LOGTS","n",0,0 ,0
3,28,"Msila","Msila","Msila","Msila","PC","ICHEBILIA","n",0,0,0
4,28,"Msila","Msila","Msila","Msila","PC","DILMI ALI (346 LOTS)","n",6,0,0
5,28,"Msila","Msila","Msila","Msila","PC","BOUKHMISSA","n",0,0,0
6,28,"Msila","Msila","chellal","chellal","PC","chellal","n",04,0,0
7,28,"Msila","Msila","chellal","ouled madhi","PC","ouled madhi","n",0,0,0
8,28,"Msila","Msila","hdalaa","hdalaa","PC","Hammam dalaa nvelle","y",06,0,0
9,28,"Msila","Msila","hdalaa","hdalaa","PC","Hammam dalaa ancien","n",0,0,0
10,28,"Msila","Msila","hdalaa","tarmount","PC","tarmount","n",06,0 ,0
11,28,"Msila","Msila","ouled derradj","mtarfa","PC","DIALEM","n",06,0,0
12,28,"Msila","Msila","Msila","Msila","SS","GHEZAL","n",0,0,0
13,28,"Msila","Msila","Msila","Msila","SS","MEZRIR","n",0,0,0
14,28,"Msila","Msila","Msila","Msila","SS","OULED SLAMA","n",0,0,0
15,28,"Msila","Msila","Msila","Msila","SS","SED KSOB","n",0,0,0
16,28,"Msila","Msila","Msila","Msila","SS","DJAAFRA","n",0,0,0
17,28,"Msila","Msila","Msila","Msila","SS","MOUILHA","n",0,0,0
18,28,"Msila","Msila","Msila","Msila","SS","05 JUILLET","n",0,0,0
19,28,"Msila","Msila","Msila","Msila","SS","LEMDJAZ","n",0,0,0
20,28,"Msila","Msila","Msila","Msila","SS","SONITEX","n",0,0,0
21,28,"Msila","Msila","Msila","Msila","SS","LAROCADE","n",0,0,0
22,28,"Msila","Msila","Msila","Msila","SS","SIDI AMMARA","n",0,0,0
23,28,"Msila","Msila","ouled derradj","mtarfa","SS","BECHILGUA","n",0,0,0
24,28,"Msila","Msila","ouled derradj","mtarfa","SS","LOUIZA","n",0,0,0
25,28,"Msila","Msila","ouled derradj","mtarfa","SS","RETBA","n",0,0,0
26,28,"Msila","Msila","ouled derradj","mtarfa","SS","NOUARA","n",0,0,0
27,28,"Msila","Msila","ouled derradj","mtarfa","SS","MECHTA AMROUNE","n",0,0,0
28,28,"Msila","Msila","ouled derradj","mtarfa","SS","ZOUAOULA","n",0,0,0
29,28,"Msila","Msila","ouled derradj","souamaa","SS","BOUHMADOU","n",0,0,0
30,28,"Msila","Msila","ouled derradj","souamaa","SS","souamaa","n",0,0,0
31,28,"Msila","Msila","ouled derradj","souamaa","SS","KHEBBAB","n",0,0,0
32,28,"Msila","Msila","ouled derradj","souamaa","SS","LOUASSA","n",0,0,0
33,28,"Msila","Msila","chellal","chellal","SS","LAAMARAT","n",0,0,0
34,28,"Msila","Msila","chellal","ouled madhi","SS","BAYADHA","n",0,0,0
34,28,"Msila","Msila","chellal","ouled madhi","SS","SAIDA","n",0,0,0
35,28,"Msila","Msila","chellal","ouled madhi","SS","OULED ABDELLAH","n",0,0,0
36,28,"Msila","Msila","hdalaa","hdalaa","SS","BOURACHED","n",0,0,0
37,28,"Msila","Msila","hdalaa","hdalaa","SS","HAOURANE","n",0,0,0
38,28,"Msila","Msila","hdalaa","hdalaa","SS","EL GUEREF","n",0,0,0
39,28,"Msila","Msila","hdalaa","hdalaa","SS","DEBIL","n",0,0,0
40,28,"Msila","Msila","hdalaa","hdalaa","SS","BOUIRA","n",0,0,0
41,28,"Msila","Msila","hdalaa","hdalaa","SS","GUETTAF","n",0,0,0
42,28,"Msila","Msila","hdalaa","hdalaa","SS","DAR KEBIRA","n",0,0,0
43,28,"Msila","Msila","hdalaa","hdalaa","SS","DAR SEGHIRA","n",0,0,0
44,28,"Msila","Msila","hdalaa","hdalaa","SS","BIR MADHI","n",0,0,0
45,28,"Msila","Msila","hdalaa","hdalaa","SS","DHOKARA","n",0,0,0
46,28,"Msila","Msila","hdalaa","hdalaa","SS","ZITOUTE","n",0,0,0
47,28,"Msila","Msila","hdalaa","hdalaa","SS","DJER HAOUAS","n",0,0,0
48,28,"Msila","Msila","hdalaa","tarmount","SS","OUM CHOUACHI","n",0,0,0
49,28,"Msila","Msila","hdalaa","tarmount","SS","BIR LEHLOU","n",0,0,0
