"ID","IDW","WILAYA","EQUIPEMENT","CHU","EPH","EHS","EH","EPSP"
"1",28,"Msila","IRM","0","0","0","0","0"
"2",28,"Msila","Scanner","0","03","0","0","0"
"3",28,"Msila","PET/SCAN","0","0","0","0","0"
"4",28,"Msila","Gamma-caméras","0","0","0","0","0"
"5",28,"Msila","Salle de cathétérisme de cardiologie","0","0","0","0","0"
"6",28,"Msila","Accélérateurs linéaires","0","0","0","0","0"
"7",28,"Msila","Lithotripteur","0","0","0","0","0"
"8",28,"Msila","Appareil de radio numérique","0","0","0","0","0"
"9",28,"Msila","Mammographie","0","03","01","0","0"
"10",28,"Msila","Générateur d’hémodialyse","0","0103","0","0","0"
