"","IDW","IDD","IDC","COMMUNE","SUP","POP","EPH","EHS","PLC","SS","DAIRA","WILAYA"
"1",2,201,201,"Chlef",125.83,178616,3,0,0,0,"Chlef","Chlef"
"2",2,201,219,"Sendjas",218.46,29043,0,0,0,0,"Chlef","Chlef"
"3",2,201,233,"Oum Drou",59.71,21326,0,0,0,0,"Chlef","Chlef"
"4",2,202,202,"Tenes",92.28,35459,2,0,0,0,"Tenes","Chlef"
"5",2,202,211,"Sidi Akkacha",129.19,26595,0,0,0,0,"Tenes","Chlef"
"6",2,204,204,"El Karimia",95.85,28821,0,0,0,0,"El Karimia","Chlef"
"7",2,204,209,"Harchoune",80.28,17873,0,0,0,0,"El Karimia","Chlef"
"8",2,204,235,"Beni Bouattab",120.39,2069,0,0,0,0,"El Karimia","Chlef"
"9",2,206,206,"Taougrit",185.73,27574,0,0,0,0,"Taougrit","Chlef"
"10",2,206,217,"Dahra",207.15,23802,0,0,0,0,"Taougrit","Chlef"
"11",2,207,216,"Oued Goussine",78.83,6453,0,0,0,0,"Beni Haoua","Chlef"
"12",2,207,234,"Breira",72.3,13200,0,0,0,0,"Beni Haoua","Chlef"
"13",2,207,207,"Beni Haoua",112.57,20853,0,0,0,0,"Beni Haoua","Chlef"
"14",2,210,210,"Ouled Fares",243.75,34891,0,0,0,0,"Ouled Fares","Chlef"
"15",2,210,224,"Chettia",38.03,71408,1,0,0,0,"Ouled Fares","Chlef"
"16",2,210,228,"Labiod Medjadja",106.5,14733,0,0,0,0,"Ouled Fares","Chlef"
"17",2,212,208,"Sobha",182.54,34455,1,0,0,0,"Boukadir","Chlef"
"18",2,212,212,"Boukadir",222.43,51340,0,0,0,0,"Boukadir","Chlef"
"19",2,212,221,"Oued Sly",103.03,47248,0,0,0,0,"Boukadir","Chlef"
"20",2,220,220,"Zeboudja",135.17,26539,0,0,0,0,"Zeboudja","Chlef"
"21",2,220,203,"Benairia",60.65,15697,0,0,0,0,"Zeboudja","Chlef"
"22",2,220,231,"Bouzeghaia",137.67,22590,0,0,0,0,"Zeboudja","Chlef"
"23",2,222,214,"Telassa",69.72,11503,0,0,0,0,"Abou El Hassen","Chlef"
"24",2,222,222,"Abou El Hassen",81.1,22756,0,0,0,0,"Abou El Hassen","Chlef"
"25",2,222,205,"Tadjena",116.59,24413,0,0,0,0,"Abou El Hassen","Chlef"
"26",2,222,225,"Sidi Abderrahmane",75.09,4349,0,0,0,0,"Abou El Hassen","Chlef"
"27",2,223,226,"Moussadek",63.21,6380,0,0,0,0,"El Marsa","Chlef"
"28",2,223,223,"El Marsa",119.08,10807,0,0,0,0,"El Marsa","Chlef"
"29",2,229,218,"Ouled Abbes",42.5,8578,0,0,0,0,"Oued Fodda","Chlef"
"30",2,229,213,"Beni Rached",105,23449,0,0,0,0,"Oued Fodda","Chlef"
"31",2,229,229,"Oued Fodda",70.41,41710,0,0,0,0,"Oued Fodda","Chlef"
"32",2,230,230,"Ouled Ben Abdelkader",182.47,19952,0,0,0,0,"Ouled Ben Abdelkader","Chlef"
"33",2,230,227,"El Hadjadj",98.55,8478,0,0,0,0,"Ouled Ben Abdelkader","Chlef"
"34",2,232,215,"Herenfa",141.01,17799,0,0,0,0,"Ain Merrane","Chlef"
"35",2,232,232,"Ain Merrane",101.64,51326,0,0,0,0,"Ain Merrane","Chlef"
"36",3,301,301,"Laghouat",400,267834,2,1,9,11,"Laghouat","Laghouat"
"37",3,302,302,"Ksar Hirane",1240,32387,1,0,1,4,"Ksar Hirane","Laghouat"
"38",3,302,303,"Bennasser Benchohra",1460,14929,0,0,1,3,"Ksar Hirane","Laghouat"
"39",3,304,304,"Sidi Makhlouf",1420,17252,0,0,1,4,"Sidi Makhlouf","Laghouat"
"40",3,304,320,"El Assafia",420,10642,0,0,1,3,"Sidi Makhlouf","Laghouat"
"41",3,306,305,"Hassi Delaa",3955,20801,0,0,1,1,"Hassi R'Mel","Laghouat"
"42",3,306,306,"Hassi R'Mel",1957,31093,0,0,2,2,"Hassi R'Mel","Laghouat"
"43",3,307,307,"Ain Madhi",1790,17240,0,0,0,1,"Ain Madhi","Laghouat"
"44",3,307,309,"Kheneg",3830,21639,0,0,1,2,"Ain Madhi","Laghouat"
"45",3,307,318,"Tadjrouna",1130,6309,0,0,0,2,"Ain Madhi","Laghouat"
"46",3,307,323,"El Haouaita",405,3075,0,0,0,1,"Ain Madhi","Laghouat"
"47",3,307,308,"Tadjemout",620,6309,0,0,0,4,"Ain Madhi","Laghouat"
"48",3,310,310,"Gueltat Sidi Saad",1040,17906,0,0,1,5,"Gueltat Sidi Saad","Laghouat"
"49",3,310,311,"Ain Sidi Ali",410,11894,0,0,1,2,"Gueltat Sidi Saad","Laghouat"
"50",3,310,312,"El Beidha",780,11797,0,0,1,1,"Gueltat Sidi Saad","Laghouat"
"51",3,313,313,"Brida",355,8426,0,0,1,4,"Brida","Laghouat"
"52",3,313,317,"Taouala",255,4072,0,0,1,3,"Brida","Laghouat"
"53",3,313,315,"Hadj Mechri",375,8792,0,0,1,6,"Brida","Laghouat"
"54",3,314,314,"El Ghicha",7300,8048,0,0,1,4,"El Ghicha","Laghouat"
