"","ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","DENOMINATION","CP","CH"
"1",1,2,"Chlef",NA,NA,NA,"I.F.P.M","CHLEF",0,0
"2",1,44,"Aindefla",NA,NA,NA,"I.N.F.S.P","Khemis-Miliana",240,220
"3",2,44,"Aindefla",NA,NA,NA,"I.F.P.M","El-Attaf",240,104
"4",3,44,"Aindefla",NA,NA,NA,"Annexe","EPH Ain-Defla",30,0
"5",4,44,"Aindefla",NA,NA,NA,"Annexe","EPH Khemis-Miliana",25,0
"6",5,44,"Aindefla",NA,NA,NA,"Annexe","EPH MILIANA",30,0
"7",6,44,"Aindefla",NA,NA,NA,"Annexe","EPH El-Attaf",30,0
"8",7,44,"Aindefla",NA,NA,NA,"Annexe","EPSP Ain-Lechiakh",31,0
"9",1,26,"Medea",NA,NA,NA,"I.N.F.S.P","MEDEA",330,304
"10",2,26,"Medea",NA,NA,NA,"Annexe","MEDEA 1",30,0
"11",3,26,"Medea",NA,NA,NA,"Annexe","MEDEA 2",30,0
"12",4,26,"Medea",NA,NA,NA,"Annexe","BERROUAGHIA",30,0
"13",5,26,"Medea",NA,NA,NA,"Annexe","AIN BOUCIF",30,0
"14",6,26,"Medea",NA,NA,NA,"Annexe","KSAR BOUKHARI",30,0
"15",7,26,"Medea",NA,NA,NA,"Annexe","BENISLIMANE",30,0
"16",8,26,"Medea",NA,NA,NA,"Annexe","TABLAT",30,0
"17",1,17,"Djelfa",NA,NA,NA,"I.F.S.P","Centre ville",250,200
"18",2,17,"Djelfa",NA,NA,NA,"I.F.S.P","Ben aissa attalah",600,600
"19",1,3,"Laghouat",NA,NA,NA,"I.N.F.S.P","Laghouat",380,170
"20",2,3,"Laghouat",NA,NA,NA,"Annexe","Aflou",0,0
"21",1,28,"Msila",NA,NA,NA,"I.N.F.S.P","Djaloud Saad Msila",0,0
